date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:45	119522/119522	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2002:30:23%20GMT	http://dadan.pw/	C:/My%20Web%20Sites/http___dadan.pw_/dadan.pw/index.html	(from )
09:30:48	24/24	---M--	200	added ('OK')	text/plain	date:Mon,%2013%20May%202024%2017:07:32%20GMT	http://dadan.pw/robots.txt		(from )
09:30:52	18431/18431	---MCZ	200	added ('OK')	text/css	etag:W/%2247ff-d3a3yEz+9uIdA7uPkGvhHx1zZd4%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/My%20Web%20Sites/http___dadan.pw_/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from http://dadan.pw/)
09:31:07	54825/54825	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Jul%202024%2001:25:46%20GMT	http://dadan.pw/build/assets/app-BTvbINok.css	C:/My%20Web%20Sites/http___dadan.pw_/dadan.pw/build/assets/app-BTvbINok.css	(from http://dadan.pw/)
09:31:12	150447/150447	---MCZ	200	added ('OK')	application/javascript	etag:W/%2224baf-SvYRfRJkVC7ONCBpuA5fO4KwFAk%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js	C:/My%20Web%20Sites/http___dadan.pw_/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js	(from http://dadan.pw/)
09:31:13	47340/47340	---M--	200	added ('OK')	application/javascript	date:Fri,%2012%20Jul%202024%2001:25:46%20GMT	http://dadan.pw/build/assets/app-BrVPeIpY.js	C:/My%20Web%20Sites/http___dadan.pw_/dadan.pw/build/assets/app-BrVPeIpY.js	(from http://dadan.pw/)
09:31:15	2934019/2934019	---MCZ	200	added ('OK')	text/css	etag:W/%222cc503-cyTPK4s7rX9aC3Y3NNaHIxjV1fQ%22	https://cdn.jsdelivr.net/npm/tailwindcss@2.2.19/dist/tailwind.min.css	C:/My%20Web%20Sites/http___dadan.pw_/cdn.jsdelivr.net/npm/tailwindcss@2.2.19/dist/tailwind.min.css	(from http://dadan.pw/)
09:31:19	103009/103009	---M-Z	200	added ('OK')	text/css	etag:%22660cc074-5556%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.2/css/all.min.css	C:/My%20Web%20Sites/http___dadan.pw_/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.2/css/all.min.css	(from http://dadan.pw/)
09:31:19	27048/27048	---M--	200	added ('OK')	image/png	date:Thu,%2030%20May%202024%2013:28:28%20GMT	http://dadan.pw/logo.png	C:/My%20Web%20Sites/http___dadan.pw_/dadan.pw/logo.png	(from http://dadan.pw/)
09:31:20	17762/17762	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Jul%202024%2001:25:46%20GMT	http://dadan.pw/build/assets/swiper-bundle-D_JgF5ni.css	C:/My%20Web%20Sites/http___dadan.pw_/dadan.pw/build/assets/swiper-bundle-D_JgF5ni.css	(from http://dadan.pw/)
09:31:21	16843/16843	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2002:31:24%20GMT	http://dadan.pw/riset/pengabdian-kepada-masyarakat	C:/My%20Web%20Sites/http___dadan.pw_/dadan.pw/riset/pengabdian-kepada-masyarakat.html	(from http://dadan.pw/)
09:31:22	17521/17521	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2002:31:25%20GMT	http://dadan.pw/profile/tentang-kami	C:/My%20Web%20Sites/http___dadan.pw_/dadan.pw/profile/tentang-kami.html	(from http://dadan.pw/)
09:31:23	14433/14433	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2002:31:26%20GMT	http://dadan.pw/profile/struktur-organisasi	C:/My%20Web%20Sites/http___dadan.pw_/dadan.pw/profile/struktur-organisasi.html	(from http://dadan.pw/)
